source,target,user
client_enter_game-2,Churn,188
client_enter_game-2,client_lobby-2,105
client_enter_game-2,client_lobby-2,31
client_enter_game-2,stage_end-lose_<=180,208
client_enter_game-2,stage_end-lose_180->360,187
client_enter_game-2,stage_end-lose_360->540,94
client_enter_game-2,stage_end-won,200
client_enter_game-2,stage_end-won,1
client_enter_game-3,Churn,597
client_enter_shop-2,Churn,6
client_enter_shop-2,client_enter_game-3,57
client_enter_shop-2,client_tutorial-2,2
client_enter_shop-2,earn_resource-2,15
client_lobby-2,Churn,69
client_lobby-2,client_enter_game-3,248
client_lobby-2,client_enter_shop-2,26
client_lobby-2,client_tutorial-2,3
client_lobby-2,client_tutorial-2,5
client_lobby-2,client_tutorial-2,9
client_lobby-2,client_tutorial-2,31
client_lobby-2,client_tutorial-2,241
client_lobby-2,client_tutorial-2,1
client_lobby-2,client_tutorial-2,1
client_lobby-2,earn_resource-2,1
client_lobby-2,earn_resource-2,134
client_lobby-2,earn_resource-2,1
client_tutorial-2,Churn,54
client_tutorial-2,client_enter_game-3,36
client_tutorial-2,client_enter_shop-2,7
client_tutorial-2,earn_resource-2,196
earn_resource-2,Churn,42
earn_resource-2,client_enter_game-3,256
earn_resource-2,client_enter_shop-2,47
Not churn,,1013
stage_end-lose_<=180,Churn,34
stage_end-lose_<=180,client_lobby-2,1
stage_end-lose_<=180,client_lobby-2,184
stage_end-lose_<=180,client_lobby-2,9
stage_end-lose_180->360,Churn,34
stage_end-lose_180->360,client_lobby-2,158
stage_end-lose_180->360,client_lobby-2,5
stage_end-lose_360->540,Churn,16
stage_end-lose_360->540,client_lobby-2,1
stage_end-lose_360->540,client_lobby-2,79
stage_end-won,Churn,7
stage_end-won,client_lobby-2,194
