stage,day_count,source,target,weight
1000000,0,LevelDown,RewardPatrol,1
1000000,0,ResourceShop,,5
1000000,0,ResourceShop,ResourceShop,4
1000000,0,ResourceShop,RewardPatrol,2
1000000,0,ResourceShop,RewardStage,10
1000000,0,RewardPatrol,RewardStage,1
1000000,0,RewardStage,,8
1000000,0,RewardStage,LevelDown,2
1000000,0,RewardStage,ResourceShop,13
1000000,0,RewardStage,RewardPatrol,3
1000000,0,RewardStage,RewardStage,6
1000000,1,ChapterPack,FirstPurchase,1
1000000,1,ChapterPack,RewardPatrol,2
1000000,1,ChestItem,,1
1000000,1,ChestItem,ChestItem,24
1000000,1,ChestItem,DailyReward,2
1000000,1,ChestItem,Mission,22
1000000,1,ChestItem,ResourceShop,1
1000000,1,ChestItem,RewardPatrol,1
1000000,1,ChestItem,RewardStage,2
1000000,1,DailyReward,,1
1000000,1,DailyReward,Mission,10
1000000,1,DailyReward,RewardPatrol,3
1000000,1,DailyReward,RewardStage,1
1000000,1,DailyShop,DailyReward,1
1000000,1,DailyShop,DailyShop,7
1000000,1,DailyShop,Mission,4
1000000,1,DailyShop,ResourceShop,1
1000000,1,DailyShop,RewardPatrol,8
1000000,1,FirstPurchase,RewardPatrol,2
1000000,1,LevelDown,,7
1000000,1,LevelDown,DailyShop,1
1000000,1,LevelDown,LevelDown,19
1000000,1,LevelDown,Mission,1
1000000,1,LevelDown,ResourceShop,18
1000000,1,LevelDown,RewardPatrol,22
1000000,1,LevelDown,RewardStage,21
1000000,1,Mission,,11
1000000,1,Mission,ChestItem,28
1000000,1,Mission,DailyReward,5
1000000,1,Mission,DailyShop,2
1000000,1,Mission,Mission,170
1000000,1,Mission,QuickPatrol,4
1000000,1,Mission,ResourceShop,10
1000000,1,Mission,RewardPatrol,35
1000000,1,Mission,RewardStage,4
1000000,1,Mission,TrialReward,1
1000000,1,QuickPatrol,DailyReward,1
1000000,1,QuickPatrol,DailyShop,1
1000000,1,QuickPatrol,LevelDown,1
1000000,1,QuickPatrol,Mission,1
1000000,1,QuickPatrol,QuickPatrol,3
1000000,1,QuickPatrol,RewardPatrol,2
1000000,1,QuickPatrol,RewardStage,1
1000000,1,ResourceShop,,328
1000000,1,ResourceShop,ChapterPack,2
1000000,1,ResourceShop,ChestItem,1
1000000,1,ResourceShop,DailyReward,4
1000000,1,ResourceShop,DailyShop,1
1000000,1,ResourceShop,FirstPurchase,1
1000000,1,ResourceShop,LevelDown,20
1000000,1,ResourceShop,Mission,14
1000000,1,ResourceShop,QuickPatrol,1
1000000,1,ResourceShop,ResourceShop,555
1000000,1,ResourceShop,RewardPatrol,373
1000000,1,ResourceShop,RewardStage,1221
1000000,1,ResourceShop,TrialReward,1
1000000,1,RewardPatrol,,16
1000000,1,RewardPatrol,ChestItem,2
1000000,1,RewardPatrol,DailyReward,2
1000000,1,RewardPatrol,DailyShop,9
1000000,1,RewardPatrol,LevelDown,5
1000000,1,RewardPatrol,Mission,60
1000000,1,RewardPatrol,QuickPatrol,3
1000000,1,RewardPatrol,ResourceShop,7
1000000,1,RewardPatrol,RewardPatrol,79
1000000,1,RewardPatrol,RewardStage,15
1000000,1,RewardPatrol,TrialReward,1
1000000,1,RewardStage,,856
1000000,1,RewardStage,ChapterPack,2
