source,target,value
1. 10000,2. 10001,1113
1. 10000,2. 10002,149
1. 10000,2. 10003,235
1. 10000,2. 10004,115
1. 10000,2. 10005,113
1. 10000,2. 10006,79
1. 10000,2. 10007,137
1. 10000,2. 10008,96
1. 10000,2. 10009,21
1. 10000,2. 10010,6
1. 10000,2. 10013,4
1. 10000,2. 10014,10
1. 10000,2. 10015,5
1. 10000,2. 10016,3
1. 10000,2. 10017,4
1. 10000,Churn,3
1. 10000,Not churn,18
1. 10001,2. 10002,204
1. 10001,2. 10003,270
1. 10001,2. 10004,134
1. 10001,2. 10005,167
1. 10001,2. 10006,115
1. 10001,2. 10007,204
1. 10001,2. 10008,149
1. 10001,2. 10009,28
1. 10001,2. 10010,9
1. 10001,2. 10013,5
1. 10001,2. 10014,12
1. 10001,2. 10015,7
1. 10001,2. 10016,6
1. 10001,2. 10017,4
1. 10001,Churn,9
1. 10001,Not churn,19
1. 10002,2. 10003,56
1. 10002,2. 10004,51
1. 10002,2. 10005,37
1. 10002,2. 10006,29
1. 10002,2. 10007,33
1. 10002,2. 10008,25
1. 10002,2. 10009,13
1. 10002,2. 10010,3
1. 10002,2. 10013,1
1. 10002,2. 10014,1
1. 10002,2. 10016,3
1. 10002,2. 10017,3
1. 10002,Churn,7
1. 10002,Not churn,4
1. 10003,2. 10004,58
1. 10003,2. 10005,49
1. 10003,2. 10006,45
1. 10003,2. 10007,51
1. 10003,2. 10008,48
1. 10003,2. 10009,11
1. 10003,2. 10010,5
1. 10003,2. 10013,3
1. 10003,2. 10014,7
1. 10003,2. 10015,4
1. 10003,2. 10016,1
1. 10003,2. 10017,2
1. 10003,Churn,5
1. 10003,Not churn,12
1. 10004,2. 10005,47
1. 10004,2. 10006,49
1. 10004,2. 10007,46
1. 10004,2. 10008,39
1. 10004,2. 10009,11
1. 10004,2. 10010,6
1. 10004,2. 10013,2
1. 10004,2. 10015,5
1. 10004,2. 10016,4
1. 10004,2. 10017,4
1. 10004,Churn,1
1. 10004,Not churn,7
1. 10005,2. 10006,46
1. 10005,2. 10007,53
1. 10005,2. 10008,42
1. 10005,2. 10009,11
1. 10005,2. 10010,4
1. 10005,2. 10013,2
1. 10005,2. 10014,3
1. 10005,2. 10015,2
1. 10005,2. 10016,3
1. 10005,2. 10017,2
1. 10005,Churn,4
1. 10005,Not churn,7
1. 10006,2. 10007,60
1. 10006,2. 10008,45
1. 10006,2. 10009,10
1. 10006,2. 10010,4
1. 10006,2. 10013,2
1. 10006,2. 10014,4
1. 10006,2. 10016,3
1. 10006,2. 10017,3
1. 10006,Churn,3
1. 10006,Not churn,10
1. 10007,2. 10007,1
1. 10007,2. 10008,127
1. 10007,2. 10009,28
1. 10007,2. 10010,12
1. 10007,2. 10013,4
1. 10007,2. 10014,5
1. 10007,2. 10015,8
1. 10007,2. 10016,8
1. 10007,2. 10017,4
1. 10007,Churn,13
1. 10007,Not churn,18
1. 10008,2. 10009,72
1. 10008,2. 10010,27
1. 10008,2. 10013,8
1. 10008,2. 10014,18
1. 10008,2. 10015,14
1. 10008,2. 10016,9
1. 10008,2. 10017,4
1. 10008,Churn,14
1. 10008,Not churn,24
1. 10009,2. 10010,18
1. 10009,2. 10013,3
1. 10009,2. 10014,6
1. 10009,2. 10015,6
1. 10009,2. 10016,8
1. 10009,2. 10017,8
1. 10009,Churn,11
1. 10009,Not churn,17
1. 10010,2. 10013,5
1. 10010,2. 10014,3
1. 10010,2. 10015,10
1. 10010,2. 10016,4
1. 10010,2. 10017,3
1. 10010,Churn,5
1. 10010,Not churn,16
1. 10013,2. 10014,4
1. 10013,2. 10015,2
1. 10013,2. 10016,2
1. 10013,2. 10017,4
1. 10013,Churn,2
1. 10013,Not churn,10
1. 10014,2. 10015,4
1. 10014,2. 10016,5
1. 10014,2. 10017,4
1. 10014,Churn,8
1. 10014,Not churn,20
1. 10015,2. 10016,6
1. 10015,2. 10017,5
1. 10015,Churn,7
1. 10015,Not churn,9
1. 10016,2. 10017,3
1. 10016,Churn,6
1. 10016,Not churn,18
